"Адрес ""грязный""";Адрес чистый
Удмуртская Республика, г. Ижевск, ул. Ворошилова, 23;г. Ижевск, ул. Ворошилова, 23
Оренбургская область, Саракташский район, с. Новочеркасск, Центральная улица, 2;с. Новочеркасск, Центральная улица, 2
Псковская область, г. Великие Луки, пр-кт Гагарина, 6;г. Великие Луки, пр-кт Гагарина, 6
Псковская обл.,г. Великие Луки, пр-кт Октябрьский, 52;г. Великие Луки, пр-кт Октябрьский, 52
Псковская обл., г. Великие Луки, ул. Мелиораторов, 7;г. Великие Луки, ул. Мелиораторов, 7
Удмуртская Республика, г. Ижевск, ул. Дзержинского, 54;г. Ижевск, ул. Дзержинского, 54
Республика Коми, г. Сыктывкар, ул. Космонавтов, 14;г. Сыктывкар, ул. Космонавтов, 14
Республика Коми, г. Сыктывкар, ул. Мира, 4;г. Сыктывкар, ул. Мира, 4
Республика Коми, г. Сыктывкар, ул. Мира, 42 дробь 1;г. Сыктывкар, ул. Мира, 42 дробь 1
Хабаровский край, г. Комсомольск-на-Амуре, ул. Вокзальная, 39;г. Комсомольск-на-Амуре, ул. Вокзальная, 39
Хабаровский край, г. Комсомольск-на-Амуре, ул. Гамарника, 16;г. Комсомольск-на-Амуре, ул. Гамарника, 16
Хабаровский край, г. Комсомольск-на-Амуре, ул. Охотская, 9;г. Комсомольск-на-Амуре, ул. Охотская, 9
Удмуртская Республика, г. Ижевск, ул. Красногеройская, 12;г. Ижевск, ул. Красногеройская, 12
Удмуртская Республика, г. Ижевск, ул. Ленина, 79;г. Ижевск, ул. Ленина, 79
Удмуртская Республика, г. Ижевск, ул. Тельмана, 14;г. Ижевск, ул. Тельмана, 14
Удмуртская Республика, г. Ижевск, ш. Воткинское, 9;г. Ижевск, ш. Воткинское, 9
Удмуртская Республика, г. Ижевск, ул. Кирова, 110;г. Ижевск, ул. Кирова, 110
Удмуртская Республика, г. Ижевск, ул. Леваневского, 2А;г. Ижевск, ул. Леваневского, 2А
Приморский край, г. Уссурийск, ул. Агеева, 59;г. Уссурийск, ул. Агеева, 59
